標題,連結,標籤,圖片
#綠幕素材 079 群眾歡呼在電影院,https://www.youtube.com/watch?v=HJbYmNRSA5k,#綠幕素材,HJbYmNRSA5k
#影片素材 028 我習慣講話就是這麼大聲,https://www.youtube.com/watch?v=W7uf_J5dB3E,,W7uf_J5dB3E
#BGM素材 006 搞笑、疑惑BGM#1 Scheming Weasel Faster,https://www.youtube.com/watch?v=uz6G4yiqLT0,,uz6G4yiqLT0
#綠幕素材 078 We'll Be Right Back,https://www.youtube.com/watch?v=MmQIhRxZsJQ,#綠幕素材,MmQIhRxZsJQ
#音效素材 009 收銀機音效,https://www.youtube.com/watch?v=N7JwbaoBA58,,N7JwbaoBA58
#bgm素材 005   名偵探柯南主題曲 名探偵コナンメイン・テーマ(音樂有版權，但不影響頻道，只是無法營利）,https://www.youtube.com/watch?v=Uj5relamNg0,,Uj5relamNg0
#影片素材 027 咻!蹦機勒按呢金大聲拉,https://www.youtube.com/watch?v=w56enHR8LFU,,w56enHR8LFU
#BGM素材 004 電梯音樂 Elevator Music  Local Elevator(minecraft速通常用音樂),https://www.youtube.com/watch?v=wtRLLW-_bU0,,wtRLLW-_bU0
#音效素材 008 震驚音效,https://www.youtube.com/watch?v=AEIzbR6sjpI,,AEIzbR6sjpI
#BGM素材 003 快樂BGM#01 What Do I Know,https://www.youtube.com/watch?v=LRWOBU3yNHM,,LRWOBU3yNHM
#綠幕素材 077 艾爾登法環死亡特效,https://www.youtube.com/watch?v=wLUoR9LJIaY,#綠幕素材,wLUoR9LJIaY
#綠幕素材 076 Minecraft 訂閱按讚 成就綠幕,https://www.youtube.com/watch?v=n7dGfRcoq6g,#綠幕素材,n7dGfRcoq6g
#影片素材 026 砸電腦2(原片無刪減),https://www.youtube.com/watch?v=GI7IaCyjKVM,,GI7IaCyjKVM
#影片素材 025  我要吃炒飯 夜市人生,https://www.youtube.com/watch?v=Ed4UC7hP7_M,,Ed4UC7hP7_M
#音效素材 007 小當家美食音效(中華一番),https://www.youtube.com/watch?v=RZ-kC-xlMNc,,RZ-kC-xlMNc
#影片素材 024 砸電腦1,https://www.youtube.com/watch?v=REMdPbNtXEQ,,REMdPbNtXEQ
#BGM素材 002 悲傷BGM#1 St. Francis,https://www.youtube.com/watch?v=pmLIbBzuS_8,,pmLIbBzuS_8
#音效素材 006 Bruh,https://www.youtube.com/watch?v=7zrxRUTW7FU,,7zrxRUTW7FU
#BGM素材 001 緊張BGM#1 Cataclysmic Molten Core,https://www.youtube.com/watch?v=hQKEf59as28&t=10s,,9as28&t=10s
#音效素材 005 哆啦A夢道具出場音效,https://www.youtube.com/watch?v=uuS0c0okUrw,,uuS0c0okUrw
#綠幕素材 075 Minecraft 死亡畫面綠幕,https://www.youtube.com/watch?v=pUWk9vHqGaY,#綠幕素材,pUWk9vHqGaY
#影片素材 023 不同意的請舉手  沒有 沒有 沒有【習近平經典語錄#1】,https://www.youtube.com/watch?v=DKgaH9zu7s0,,DKgaH9zu7s0
#綠幕素材 074 JOJO綠幕(音樂有版權，但不影響頻道，只是無法營利）,https://www.youtube.com/watch?v=OieDMFStDSU,#綠幕素材,OieDMFStDSU
#綠幕素材 073 Minecraft 苦力怕 爆炸,https://www.youtube.com/watch?v=0j3i_nEp5cQ,#綠幕素材,0j3i_nEp5cQ
#綠幕素材 072 Minecraft 按讚 訂閱動畫,https://www.youtube.com/watch?v=FoNBZBGgLUg,#綠幕素材,FoNBZBGgLUg
#綠幕素材 071 Minecraft 按讚動畫,https://www.youtube.com/watch?v=8sg8EY1C7ZI,#綠幕素材,8sg8EY1C7ZI
#綠幕素材 070 Minecraft TNT 爆炸,https://www.youtube.com/watch?v=Nb3i83mSDTI,#綠幕素材,Nb3i83mSDTI
#影片素材 022 狗狗警察抓走熊,https://www.youtube.com/watch?v=05CIGPWUdmo,,05CIGPWUdmo
#音效素材 004 Wow~~~~,https://www.youtube.com/watch?v=aF3zD_biP80,,aF3zD_biP80
#音效素材 003 號角響起,https://www.youtube.com/watch?v=ltNNxCw7aGE,,ltNNxCw7aGE
#音效素材 002 遊戲失敗,https://www.youtube.com/watch?v=-PfvRcCWSw8,,-PfvRcCWSw8
#音效素材 001 戰鬥勝利,https://www.youtube.com/watch?v=QYCO-8eg31w,,QYCO-8eg31w
#綠幕素材 069 Vtuber一問一答自我介紹綠幕素材,https://www.youtube.com/watch?v=HrRjOZS1fSs,#綠幕素材,HrRjOZS1fSs
#影片素材 021 拍額頭,https://www.youtube.com/watch?v=COfPQMzOTmg,,COfPQMzOTmg
#影片素材 020 太無情了史丹利，你真的太無情了,https://www.youtube.com/watch?v=OCEIqArL_Xs,,OCEIqArL_Xs
#影片素材 019 海綿寶寶#2 【2000 Years Later】,https://www.youtube.com/watch?v=E2TK2kXdFJA,,E2TK2kXdFJA
#綠幕素材 068 訂閱動畫#2,https://www.youtube.com/watch?v=4TVOn2zGvs8,#綠幕素材,4TVOn2zGvs8
#綠幕素材 067 Londing,https://www.youtube.com/watch?v=lCLmErmotNo,#綠幕素材,lCLmErmotNo
#綠幕素材 066 K.O,https://www.youtube.com/watch?v=1euXVzWs9dk,#綠幕素材,1euXVzWs9dk
#綠幕素材 065 訂閱動畫#1,https://www.youtube.com/watch?v=zXHZtpUV0Do,#綠幕素材,zXHZtpUV0Do
#影片素材 018 海綿寶寶#1 【A Few Moments Later】,https://www.youtube.com/watch?v=VYSRAK53aSU,,VYSRAK53aSU
#影片素材 017 來 下面一位～～,https://www.youtube.com/watch?v=cLrBTG-Ek9Y,,cLrBTG-Ek9Y
#影片素材 016 王世堅精華#3 【沒有最扯，只有更扯】,https://www.youtube.com/watch?v=1YgTyd8m5mA,,1YgTyd8m5mA
#影片素材 015 王世堅精華#2 【上帝就要降臨啦】,https://www.youtube.com/watch?v=bEl6hltzLHI,,bEl6hltzLHI
#綠幕素材 064 MG#30-5(黃),https://www.youtube.com/watch?v=qJa-wIeTfG0,#綠幕素材,qJa-wIeTfG0
#綠幕素材 063 MG#30-4(藍綠),https://www.youtube.com/watch?v=iG5geOxx0JA,#綠幕素材,iG5geOxx0JA
#綠幕素材 062 MG#30-3(粉紅),https://www.youtube.com/watch?v=CalttO3ruOM,#綠幕素材,CalttO3ruOM
#綠幕素材 061 MG#30-2(灰),https://www.youtube.com/watch?v=6pnWXN_td40,#綠幕素材,6pnWXN_td40
#綠幕素材 060 MG#30-1(淡藍),https://www.youtube.com/watch?v=fPQNmdYvb8U,#綠幕素材,fPQNmdYvb8U
#綠幕素材 055 MG#29-1(黃),https://www.youtube.com/watch?v=Acu2_3yg9y8,#綠幕素材,Acu2_3yg9y8
#綠幕素材 058 MG#29-4(紫),https://www.youtube.com/watch?v=PzzvQh6rJJ8,#綠幕素材,PzzvQh6rJJ8
#綠幕素材 059 MG#29-5(黑),https://www.youtube.com/watch?v=RNclHuDhcfg,#綠幕素材,RNclHuDhcfg
#綠幕素材 057 MG#29-3(藍),https://www.youtube.com/watch?v=WkQlU0IerxE,#綠幕素材,WkQlU0IerxE
#綠幕素材 056 MG#29-2(紅),https://www.youtube.com/watch?v=nyg1A9aXfh8,#綠幕素材,nyg1A9aXfh8
#影片素材 014 王世堅精華#1 【就是那麼簡單】,https://www.youtube.com/watch?v=odl8A97yJ1k,,odl8A97yJ1k
#綠幕素材 054 箭頭動畫,https://www.youtube.com/watch?v=mt99pTxi5iU,#綠幕素材,mt99pTxi5iU
#綠幕素材 053 海浪🌊轉場,https://www.youtube.com/watch?v=mOfKpk0urqw,#綠幕素材,mOfKpk0urqw
#影片素材 013 OMG wow~,https://youtube.com/shorts/5OWoVMtnMxE,,5OWoVMtnMxE
#影片素材 012 洗勒哈囉～是在哈囉～,https://www.youtube.com/watch?v=ES4UDTSKoIE,,ES4UDTSKoIE
#影片素材 011 我好興奮啊～,https://www.youtube.com/watch?v=BUQaOswVvD4,,BUQaOswVvD4
#綠幕素材 052 打勾動畫,https://www.youtube.com/watch?v=POrp7D0lM_U,#綠幕素材,POrp7D0lM_U
#綠幕素材 051 打勾動畫,https://www.youtube.com/watch?v=gnjzBjI_LRA,#綠幕素材,gnjzBjI_LRA
#綠幕素材 050 打叉動畫,https://www.youtube.com/watch?v=dCfPoo-Jb-A,#綠幕素材,dCfPoo-Jb-A
